Date,Time,Open,High,Low,Close
2022/1/4,10:00:00,18430,18456,18413,18429
2022/1/4,10:15:00,18429,18457,18426,18457
2022/1/4,10:30:00,18456,18468,18451,18455
2022/1/4,10:45:00,18456,18460,18441,18457
2022/1/4,11:00:00,18457,18458,18429,18442
2022/1/4,11:15:00,18443,18467,18437,18463
2022/1/4,11:30:00,18463,18486,18457,18474
2022/1/4,11:45:00,18473,18481,18467,18473
2022/1/4,12:00:00,18472,18474,18461,18467
2022/1/4,12:15:00,18467,18474,18463,18474
2022/1/4,12:30:00,18473,18493,18472,18487
2022/1/4,12:45:00,18486,18491,18481,18484
2022/1/4,13:00:00,18485,18501,18475,18500
2022/1/4,13:15:00,18499,18519,18491,18516
2022/1/4,13:30:00,18515,18522,18508,18516
2022/1/5,08:45:00,18480,18533,18454,18529
2022/1/5,09:00:00,18531,18541,18503,18535
2022/1/5,09:15:00,18535,18546,18522,18531
2022/1/5,09:30:00,18532,18533,18488,18501
2022/1/5,09:45:00,18500,18509,18479,18498
2022/1/5,10:00:00,18498,18524,18497,18517
2022/1/5,10:15:00,18517,18529,18510,18514
2022/1/5,10:30:00,18514,18524,18494,18498
2022/1/5,10:45:00,18498,18509,18485,18493
2022/1/5,11:00:00,18493,18499,18474,18485
2022/1/5,11:15:00,18485,18486,18449,18452
2022/1/5,11:30:00,18453,18481,18451,18470
2022/1/5,11:45:00,18471,18488,18465,18484
2022/1/5,12:00:00,18484,18492,18474,18479
2022/1/5,12:15:00,18478,18481,18465,18471
2022/1/5,12:30:00,18471,18481,18452,18461
2022/1/5,12:45:00,18462,18470,18450,18459
2022/1/5,13:00:00,18458,18469,18445,18462
2022/1/5,13:15:00,18461,18465,18438,18461
2022/1/5,13:30:00,18462,18488,18462,18480
2022/1/6,08:45:00,18345,18374,18334,18341
2022/1/6,09:00:00,18341,18363,18304,18356
2022/1/6,09:15:00,18355,18412,18343,18400
2022/1/6,09:30:00,18401,18416,18395,18406
2022/1/6,09:45:00,18405,18419,18371,18377
2022/1/6,10:00:00,18377,18382,18309,18322
2022/1/6,10:15:00,18322,18340,18292,18307
2022/1/6,10:30:00,18306,18335,18280,18281
2022/1/6,10:45:00,18280,18312,18265,18305
2022/1/6,11:00:00,18305,18329,18288,18296
2022/1/6,11:15:00,18296,18318,18274,18313
2022/1/6,11:30:00,18314,18322,18301,18303
2022/1/6,11:45:00,18302,18312,18285,18292
2022/1/6,12:00:00,18292,18295,18258,18284
2022/1/6,12:15:00,18285,18300,18275,18291
2022/1/6,12:30:00,18291,18298,18275,18281
2022/1/6,12:45:00,18281,18285,18260,18266
2022/1/6,13:00:00,18266,18268,18238,18256
2022/1/6,13:15:00,18257,18350,18254,18346
2022/1/6,13:30:00,18345,18364,18333,18335
2022/1/7,08:45:00,18459,18478,18430,18431
2022/1/7,09:00:00,18430,18440,18407,18412
2022/1/7,09:15:00,18412,18414,18345,18351
2022/1/7,09:30:00,18351,18357,18269,18271
2022/1/7,09:45:00,18271,18302,18258,18290
2022/1/7,10:00:00,18288,18289,18115,18173
2022/1/7,10:15:00,18173,18227,18154,18177
2022/1/7,10:30:00,18176,18193,18151,18152
2022/1/7,10:45:00,18153,18237,18136,18226
2022/1/7,11:00:00,18226,18229,18196,18198
2022/1/7,11:15:00,18198,18228,18180,18204
2022/1/7,11:30:00,18205,18215,18186,18186
2022/1/7,11:45:00,18187,18197,18173,18180
2022/1/7,12:00:00,18179,18184,18158,18180
2022/1/7,12:15:00,18180,18182,18150,18167
2022/1/7,12:30:00,18168,18185,18155,18161
2022/1/7,12:45:00,18162,18206,18158,18181
2022/1/7,13:00:00,18182,18185,18143,18178
2022/1/7,13:15:00,18178,18195,18155,18162
2022/1/7,13:30:00,18162,18166,18140,18143
2022/1/10,08:45:00,18075,18100,18022,18036
2022/1/10,09:00:00,18038,18098,18025,18073
2022/1/10,09:15:00,18071,18138,18063,18124
2022/1/10,09:30:00,18122,18185,18110,18162
2022/1/10,09:45:00,18161,18224,18151,18212
2022/1/10,10:00:00,18213,18233,18205,18219
